GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
openapi-spring,org.openapitools,RFC3339DateFormat,36,0,0,0,10,0,5,0,5,0
openapi-spring,org.openapitools,OpenApiGeneratorApplication,12,0,0,0,4,0,3,0,3,0
openapi-spring,org.openapitools.api,CollectionAgencyApi,22,0,6,0,4,0,5,0,2,0
openapi-spring,org.openapitools.api,CollectionNotificationApiController,10,0,0,0,4,0,2,0,2,0
openapi-spring,org.openapitools.api,NotificationsApiController,10,0,0,0,4,0,2,0,2,0
openapi-spring,org.openapitools.api,PaymentReminderApiController,10,0,0,0,4,0,2,0,2,0
openapi-spring,org.openapitools.api,CardDetailsApiController,10,0,0,0,4,0,2,0,2,0
openapi-spring,org.openapitools.api,LegalActionApiController,10,0,0,0,4,0,2,0,2,0
openapi-spring,org.openapitools.api,BalanceAlertApi,19,0,6,0,4,0,5,0,2,0
openapi-spring,org.openapitools.api,ApiUtil,27,0,0,0,9,0,2,0,2,0
openapi-spring,org.openapitools.api,CollectionNotificationApi,22,0,6,0,4,0,5,0,2,0
openapi-spring,org.openapitools.api,PaymentPlanProposalApiController,10,0,0,0,4,0,2,0,2,0
openapi-spring,org.openapitools.api,LegalActionApi,22,0,6,0,4,0,5,0,2,0
openapi-spring,org.openapitools.api,CollectionAgencyApiController,10,0,0,0,4,0,2,0,2,0
openapi-spring,org.openapitools.api,NotificationsApi,7,0,0,0,2,0,2,0,2,0
openapi-spring,org.openapitools.api,CardDetailsApi,38,0,4,0,10,0,5,0,3,0
openapi-spring,org.openapitools.api,BalanceAlertApiController,10,0,0,0,4,0,2,0,2,0
openapi-spring,org.openapitools.api,PaymentPlanProposalApi,22,0,6,0,4,0,5,0,2,0
openapi-spring,org.openapitools.api,PaymentReminderApi,22,0,6,0,4,0,5,0,2,0
openapi-spring,org.openapitools.model,GetCardDetails200Response,83,0,8,0,21,0,12,0,8,0
openapi-spring,org.openapitools.model,PaymentReminderRequest,167,0,14,0,41,0,22,0,15,0
openapi-spring,org.openapitools.model,PaymentPlanProposalRequestPaymentPlan,155,0,14,0,35,0,21,0,14,0
openapi-spring,org.openapitools.model,CollectionAgencyInvolvementRequest,167,0,14,0,41,0,22,0,15,0
openapi-spring,org.openapitools.model,BalanceAlertRequest,152,15,14,0,34,7,18,4,11,4
openapi-spring,org.openapitools.model,LegalActionInitiationRequest,167,0,14,0,41,0,22,0,15,0
openapi-spring,org.openapitools.model,PaymentPlanProposalRequest,167,0,14,0,41,0,22,0,15,0
openapi-spring,org.openapitools.model,CollectionNotificationRequest,204,0,16,0,49,0,26,0,18,0
openapi-spring,org.openapitools.configuration,HomeController,5,0,0,0,2,0,2,0,2,0
openapi-spring,org.openapitools.configuration,SpringDocConfiguration,17,0,0,0,6,0,2,0,2,0
